transaction_id,employee_id,employee_name,department,role,category,vendor,amount,payment_method,location,hour,is_weekend,is_night,is_fraud,fraud_type,emp_hist_mean,emp_hist_std,amount_deviation_score
TX-11105,EMP-1022,Employee 1022,Engineering,Manager,Office Supplies,Staples,1047.07,Reimbursement Request,Domestic,14,0,0,0,None,731.55,112.33,2.81
TX-10460,EMP-1048,Employee 1048,Marketing,Manager,Office Supplies,Target,995.02,Invoice/Wire,Domestic,10,1,0,0,None,655.57,130.95,2.59
TX-11322,EMP-1041,Employee 1041,Marketing,Associate,Travel,Marriott Hotels,125.78,Invoice/Wire,Domestic,16,1,0,0,None,125.4,12.06,0.03
TX-10932,EMP-1019,Employee 1019,Finance,Manager,Office Supplies,OfficeMax,549.63,Invoice/Wire,International (Low Risk),13,0,0,0,None,793.44,127.22,-1.92
TX-10752,EMP-1080,Employee 1080,Marketing,Associate,Office Supplies,Staples,152.75,Corporate Credit Card,International (High Risk),17,0,0,0,None,131.4,21.46,0.99
TX-10329,EMP-1052,Employee 1052,Operations,Associate,Office Supplies,Target,232.48,Reimbursement Request,Domestic,16,0,0,0,None,172.58,32.21,1.86
TX-11125,EMP-1005,Employee 1005,HR,Executive,Meals,UberEats,2162.14,Corporate Credit Card,Domestic,9,1,0,0,None,2049.55,319.96,0.35
TX-10992,EMP-1039,Employee 1039,Executive,Contractor,Meals,UberEats,560.97,Invoice/Wire,Domestic,15,0,0,0,None,390.61,42.59,4.0
TX-10567,EMP-1096,Employee 1096,Executive,Associate,Meals,Steakhouse,105.03,Corporate Credit Card,Domestic,22,0,1,0,None,109.78,34.63,-0.14
TX-10364,EMP-1061,Employee 1061,HR,Associate,Equipment,CDW Corporation,313.72,Corporate Credit Card,Domestic,10,0,0,0,None,161.63,38.84,3.92
TX-11411,EMP-1029,Employee 1029,HR,Contractor,Meals,Local Diner,199.67,Invoice/Wire,International (Low Risk),8,0,0,0,None,212.32,50.52,-0.25
TX-10493,EMP-1023,Employee 1023,Engineering,Manager,Office Supplies,Target,582.16,Reimbursement Request,Domestic,12,0,0,0,None,485.41,116.88,0.83
TX-10920,EMP-1077,Employee 1077,Operations,Associate,Entertainment,City Arena,153.68,Reimbursement Request,Domestic,15,0,0,0,None,169.74,36.0,-0.45
TX-10089,EMP-1013,Employee 1013,Executive,Associate,Consulting,Accenture,100.72,Invoice/Wire,Domestic,15,0,0,0,None,132.01,17.39,-1.8
TX-11556,EMP-1064,Employee 1064,Executive,Contractor,Software Licenses,AWS,208.94,Invoice/Wire,Domestic,8,0,0,0,None,258.6,47.5,-1.05
TX-10370,EMP-1082,Employee 1082,Operations,Associate,Travel,Uber,86.37,Invoice/Wire,International (Low Risk),8,0,0,0,None,69.06,30.89,0.56
TX-11574,EMP-1067,Employee 1067,Sales,Contractor,Travel,Uber,313.36,Reimbursement Request,Domestic,8,0,0,0,None,267.49,43.98,1.04
TX-11300,EMP-1092,Employee 1092,Operations,Executive,Software Licenses,Zoom,2445.22,Corporate Credit Card,Domestic,13,1,0,0,None,2132.07,247.59,1.26
TX-11313,EMP-1005,Employee 1005,HR,Executive,Equipment,Dell Technologies,2617.58,Invoice/Wire,Domestic,15,0,0,0,None,2049.55,319.96,1.78
TX-3244,EMP-1051,Employee 1051,Sales,Manager,Meals,Steakhouse,405.11,Reimbursement Request,Domestic,19,0,0,0,None,570.72,119.58,-1.38
TX-11160,EMP-1003,Employee 1003,Engineering,Associate,Equipment,CDW Corporation,210.0,Invoice/Wire,Domestic,9,0,0,0,None,190.78,10.03,1.92
